153,547
164,740
541,780
660,453
894,226
454,259
249,724
334,610
567,460
356,236
766,415
483,93
926,355
300,534
1001,124
213,513
422,578
726,222
860,279
495,608
973,678
524,116
995,423
33,372
938,566
509,207
244,150
309,69
956,461
503,727
552,22
37,485
882,741
18,583
428,173
107,603
616,370
221,201
100,342
550,694
952,118
956,317
550,371
917,686
121,681
176,656
705,770
597,238
917,628
994,775
909,446
251,274
431,75
982,235
323,456
404,734
116,267
722,118
739,672
480,316
667,293
758,43
449,462
461,544
660,593
869,79
775,628
888,129
403,375
875,357
61,313
842,212
307,704
358,189
141,306
142,61
726,468
392,301
33,236
133,205
304,760
249,586
357,535
240,78
713,169
43,159
536,640
720,332
356,49
726,382
