100,608
1015,145
333,479
263,140
84,718
1011,479
87,222
174,680
867,314
100,259
1011,305
594,474
209,220
145,401
826,732
613,704
13,519
757,650
142,760
399,667
398,272
923,316
454,298
626,360
791,741
336,379
744,515
322,326
714,219
503,339
82,756
684,666
245,77
670,602
316,654
830,209
972,106
221,512
663,339
981,775
574,320
666,90
438,62
730,362
754,395
697,24
52,64
286,460
802,15
858,394
488,251
236,373
723,113
478,209
965,387
812,277
969,743
631,164
790,478
1000,644
1005,206
268,249
39,188
296,157
424,630
176,312
982,44
685,56
524,133
824,646
47,552
269,621
221,128
347,760
1004,444
78,286
770,27
241,201
305,216
834,522
811,697
544,307
65,668
531,24
136,319
1009,411
36,629
675,203
132,664
804,187
